"x","y"
"-6.3","3.9324848738987437"
"-6.2","4.325470643100011"
"-6.1000000000000005","4.695483777978062"
"-6.000000000000001","5.039663547109623"
"-5.900000000000001","5.356140430682698"
"-5.800000000000002","5.644252348334335"
"-5.700000000000002","5.904900589485883"
"-5.600000000000002","6.141147556008871"
"-5.500000000000003","6.3592282596875265"
"-5.400000000000003","6.570675687237163"
"-5.300000000000003","6.796010818823496"
"-5.200000000000004","7.073754808122281"
"-5.100000000000004","7.4828483587387975"
"-5.000000000000004","8.212011356633507"
"-4.900000000000005","9.850949378224623"
"-4.800000000000005","15.676089262799193"
"-4.7000000000000055","-76.7517026113135"
"-4.600000000000006","-5.278099065163966"
"-4.500000000000006","-1.4661918118899173"
"-4.400000000000007","-0.3693908023042228"
"-4.300000000000007","-0.03274882094286604"
"-4.200000000000007","-0.024202831314452344"
"-4.100000000000008","-0.19101803029457443"
"-4.000000000000008","-0.4635977169973373"
"-3.900000000000008","-0.804263312185859"
"-3.800000000000008","-1.1897391557175476"
"-3.7000000000000077","-1.6040565725193403"
"-3.6000000000000076","-2.0353170817016113"
"-3.5000000000000075","-2.4740892913666013"
"-3.4000000000000075","-2.9125595144045295"
"-3.3000000000000074","-3.3441272742719295"
"-3.2000000000000073","-3.7630906490072498"
"-3.100000000000007","-4.164590424596654"
"-3.000000000000007","-4.544564181227085"
"-2.900000000000007","-4.899804441582344"
"-2.800000000000007","-5.227955024057132"
"-2.700000000000007","-5.527863153027401"
"-2.6000000000000068","-5.7996971190802595"
"-2.5000000000000067","-6.045542671672845"
"-2.4000000000000066","-6.270165888029898"
"-2.3000000000000065","-6.4825307869222675"
"-2.2000000000000064","-6.698722313241293"
"-2.1000000000000063","-6.948159569743466"
"-2.000000000000006","-7.288617309163845"
"-1.9000000000000061","-7.848264500507831"
"-1.800000000000006","-8.978408265358382"
"-1.700000000000006","-12.11458893794158"
"-1.6000000000000059","-38.33425574008992"
"-1.5000000000000058","10.35895444749124"
"-1.4000000000000057","2.451591754724668"
"-1.3000000000000056","0.6865980591008549"
"-1.2000000000000055","0.11862056839335446"
"-1.1000000000000054","5.633114466255498E-4"
"-1.0000000000000053","0.10583869023381962"
"-0.9000000000000054","0.3402496536821129"
"-0.8000000000000054","0.6560191924289024"
"-0.7000000000000054","1.0251147538010843"
"-0.6000000000000054","1.4290651575678932"
"-0.5000000000000054","1.8545394298693636"
"-0.40000000000000546","2.2912130102901944"
"-0.3000000000000055","2.7306800949363876"
"-0.20000000000000548","3.165861246129264"
"-0.10000000000000547","3.590699749648925"
"-5.467848396278896E-15","3.9999999999999787"
"0.09999999999999454","15.431365644748212"
"0.19999999999999454","3.0255287206112076"
"0.29999999999999455","0.5127277841845863"
"0.3999999999999946","-0.1463705395123776"
"0.49999999999999456","-0.2921796464716979"
"0.5999999999999945","-0.2765488444449224"
"0.6999999999999945","-0.21191291986695796"
"0.7999999999999945","-0.13716589941893098"
"0.8999999999999945","-0.06539336435660417"
"0.9999999999999944","-3.449272609959436E-15"
